frame,start_x,start_y,enemy,color
0,60,10,1,0
0,30,0,0,1
0,30,10,1,1
0,180,0,1,0
0,180,0,1,2
5,180,10,2,1
5,180,0,0,2
5,30,0,0,1
5,90,0,0,2
5,30,10,0,0
10,150,10,1,1
10,60,0,2,2
10,150,0,1,0
10,120,0,1,2
10,180,0,0,2
15,150,0,2,0
15,60,10,2,2
15,30,10,2,1
15,150,0,2,1
15,90,0,0,0
20,120,10,2,0
20,150,0,2,1
20,120,0,0,2
20,60,10,0,2
20,90,10,1,1
25,180,0,1,2
25,60,10,2,1
25,180,10,1,0
25,180,0,2,2
25,150,0,0,1
30,30,0,1,0
30,180,10,0,0
30,90,10,1,2
30,120,0,1,0
30,180,0,2,2
35,30,10,0,0
35,150,0,2,1
35,90,0,0,0
35,60,0,2,1
35,120,10,0,1
40,180,0,1,0
40,120,0,2,2
40,150,0,0,2
40,60,0,2,1
40,180,10,0,1
45,150,10,1,1
45,30,0,1,1
45,30,0,0,0
45,180,0,2,0
45,120,0,2,0
50,180,0,1,2
50,90,10,0,2
50,90,10,1,1
50,30,0,0,1
50,90,0,0,0
55,150,0,1,1
55,90,0,2,0
55,120,10,2,2
55,150,10,1,1
55,150,0,1,2
60,150,0,1,2
60,180,10,0,0
60,60,10,2,0
60,150,10,0,2
60,120,0,2,0
65,90,10,0,0
65,120,0,1,1
65,120,0,1,2
65,90,0,0,1
65,180,0,0,0
70,150,0,1,0
70,180,0,0,2
70,150,10,0,0
70,90,0,2,2
70,180,10,0,1
75,150,0,2,1
75,90,10,1,0
75,120,10,1,0
75,90,10,0,0
75,180,10,0,0
80,120,10,1,1
80,180,0,1,2
80,120,10,2,2
80,120,10,0,1
80,180,0,0,1
85,120,0,1,2
85,90,0,1,0
85,180,10,1,0
85,180,0,1,0
85,60,10,1,0
90,90,0,2,1
90,90,0,2,0
90,150,0,2,1
90,180,0,1,0
90,30,10,2,1
95,90,0,1,1
95,180,0,2,0
95,30,0,0,0
95,150,0,1,0
95,150,0,1,0
100,90,0,1,2
100,30,10,1,0
100,60,0,2,0
100,180,0,2,1
100,180,0,0,1
105,30,0,1,1
105,90,10,2,0
105,90,10,1,1
105,150,10,0,0
105,60,0,2,2
110,60,0,1,2
110,120,0,2,1
110,90,0,2,2
110,180,0,1,1
110,150,0,0,2
115,90,0,0,1
115,180,0,1,0
115,180,0,1,0
115,90,0,1,2
115,60,10,2,0
120,90,10,1,1
120,60,10,1,1
120,60,0,2,0
120,30,0,1,1
120,90,0,0,2
125,60,10,0,2
125,180,10,1,1
125,60,0,1,1
125,30,0,2,1
125,150,0,0,2
130,60,10,0,0
130,30,10,0,1
130,90,0,2,2
130,120,0,1,2
130,180,10,1,2
135,60,10,1,2
135,30,0,0,2
135,150,0,0,0
135,180,0,1,0
135,90,10,0,0
140,120,10,2,2
140,180,0,0,0
140,30,0,2,2
140,90,0,1,0
140,90,0,2,0
145,60,0,1,2
145,60,0,1,2
145,60,0,0,0
145,60,0,2,2
145,120,10,2,2
150,30,10,0,0
150,30,0,2,2
150,120,10,0,0
150,180,10,0,2
150,180,0,1,0
